timestamp,ip,method,path,user_agent,response_time
2025-05-02T05:10:04.121409,218.248.0.1,GET,/blocked_ips,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.001579
2025-05-02T05:10:04.126293,218.248.0.1,GET,/logs,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.006269
2025-05-02T05:10:13.860184,218.248.0.1,GET,/blocked_ips,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.001335
2025-05-02T05:10:13.862776,218.248.0.1,GET,/logs,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.005352
2025-05-02T05:10:24.010291,218.248.0.1,GET,/blocked_ips,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.001432
2025-05-02T05:10:24.013021,218.248.0.1,GET,/logs,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.006302
2025-05-02T05:10:33.876132,218.248.0.1,GET,/logs,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.002509
2025-05-02T05:10:33.885235,218.248.0.1,GET,/blocked_ips,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.001254
2025-05-02T05:10:43.877084,218.248.0.1,GET,/logs,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.003556
2025-05-02T05:10:43.878681,218.248.0.1,GET,/blocked_ips,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.001709
2025-05-02T05:10:53.839739,218.248.0.1,GET,/logs,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.002686
2025-05-02T05:10:53.860700,218.248.0.1,GET,/blocked_ips,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.001257
2025-05-02T05:11:03.897479,218.248.0.1,GET,/logs,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",0.002619
